  Time                  V(Vbuck)             
  1.384591897962e-04  2.126739450827e-01  
  1.386527618406e-04  2.126498311438e-01  
  1.388621887205e-04  2.126219489694e-01  
  1.391659339903e-04  2.125741809317e-01  
  1.393817504881e-04  2.125375530273e-01  
  1.396197637556e-04  2.124976183168e-01  
  1.398679574964e-04  2.124606762652e-01  
  1.400000000030e-04  2.124430112967e-01  
  1.400005000027e-04  2.124429471098e-01  
  1.400010000000e-04  2.124428829372e-01  
  1.400011000000e-04  2.124428701047e-01  
  1.400011251166e-04  2.124428668817e-01  
  1.400011753498e-04  2.124428604349e-01  
  1.400012758162e-04  2.124428475420e-01  
  1.400014767491e-04  2.124428217619e-01  
  1.400018786148e-04  2.124427702059e-01  
  1.400019000000e-04  2.124427674628e-01  
  1.400020000000e-04  2.124427546363e-01  
  1.400027000000e-04  2.124426648594e-01  
  1.400028000000e-04  2.124426520383e-01  
  1.400033000000e-04  2.124425879407e-01  
  1.400033487547e-04  2.124425816897e-01  
  1.400034462642e-04  2.124425691906e-01  
  1.400036412832e-04  2.124425441924e-01  
  1.400038964190e-04  2.124425114955e-01  
  1.400043112301e-04  2.124424583483e-01  
  1.400050000030e-04  2.124423701085e-01  
  1.400050829652e-04  2.124423594828e-01  
  1.400052488803e-04  2.124423382340e-01  
  1.400055807106e-04  2.124422957428e-01  
  1.400062443710e-04  2.124422107671e-01  
  1.400075716920e-04  2.124420409252e-01  
  1.400082895554e-04  2.124419491097e-01  
  1.400093145690e-04  2.124418180693e-01  
  1.400113645963e-04  2.124415561638e-01  
  1.400154646508e-04  2.124410330794e-01  
  1.400236647598e-04  2.124399897402e-01  
  1.400400649778e-04  2.124379134338e-01  
  1.400500000030e-04  2.124366619491e-01  
  1.400502000027e-04  2.124366367964e-01  
  1.400506000057e-04  2.124365864978e-01  
  1.400514000118e-04  2.124364859330e-01  
  1.400520000030e-04  2.124364105294e-01  
  1.400521600042e-04  2.124363904268e-01  
  1.400524800067e-04  2.124363502212e-01  
  1.400531200115e-04  2.124362698172e-01  
  1.400532000000e-04  2.124362597714e-01  
  1.400532800000e-04  2.124362497245e-01  
  1.400533000000e-04  2.124362472130e-01  
  1.400534000000e-04  2.124362346549e-01  
  1.400536820045e-04  2.124361992405e-01  
  1.400537138040e-04  2.124361952476e-01  
  1.400537774017e-04  2.124361872610e-01  
  1.400539045971e-04  2.124361712892e-01  
  1.400540000030e-04  2.124361593085e-01  
  1.400540254421e-04  2.124361561140e-01  
  1.400540763214e-04  2.124361497242e-01  
  1.400541780800e-04  2.124361369446e-01  
  1.400543815973e-04  2.124361113899e-01  
  1.400547886318e-04  2.124360602872e-01  
  1.400556027009e-04  2.124359581027e-01  
  1.400560000000e-04  2.124359082436e-01  
  1.400561000000e-04  2.124358956962e-01  
  1.400568000000e-04  2.124358078747e-01  
  1.400569000000e-04  2.124357953306e-01  
  1.400574000000e-04  2.124357326070e-01  
  1.400575000000e-04  2.124357200617e-01  
  1.400585993332e-04  2.124355821802e-01  
  1.400600102869e-04  2.124354052945e-01  
  1.400614707869e-04  2.124352223010e-01  
  1.400635006976e-04  2.124349680900e-01  
  1.400669611198e-04  2.124345350703e-01  
  1.400738819641e-04  2.124336702663e-01  
  1.400877236527e-04  2.124319450495e-01  
  1.401000000030e-04  2.124304191061e-01  
  1.401005000027e-04  2.124303570440e-01  
  1.401015000569e-04  2.124302329454e-01  
  1.401035001652e-04  2.124299848026e-01  
  1.401050000030e-04  2.124297987387e-01  
  1.401054000247e-04  2.124297491138e-01  
  1.401062000308e-04  2.124296498884e-01  
  1.401072000000e-04  2.124295258910e-01  
  1.401073000000e-04  2.124295134904e-01  
  1.401078000000e-04  2.124294514993e-01  
  1.401082000000e-04  2.124294019052e-01  
  1.401083000000e-04  2.124293895093e-01  
  1.401089000000e-04  2.124293151210e-01  
  1.401090000000e-04  2.124293027251e-01  
  1.401090189088e-04  2.124293003807e-01  
  1.401090567263e-04  2.124292956924e-01  
  1.401091166336e-04  2.124292882653e-01  
  1.401092364482e-04  2.124292734139e-01  
  1.401093534456e-04  2.124292589128e-01  
  1.401095713984e-04  2.124292318937e-01  
  1.401098681644e-04  2.124291951077e-01  
  1.401100000030e-04  2.124291787632e-01  
  1.401100593562e-04  2.124291714048e-01  
  1.401101780532e-04  2.124291566926e-01  
  1.401104154474e-04  2.124291272685e-01  
  1.401108902356e-04  2.124290684216e-01  
  1.401112236491e-04  2.124291558438e-01  
  1.401114384354e-04  2.124292981857e-01  
  1.401116788097e-04  2.124295524213e-01  
  1.401119319898e-04  2.124299301933e-01  
  1.401124383499e-04  2.124310052451e-01  
  1.401134510700e-04  2.124342407840e-01  
  1.401139583614e-04  2.124363060733e-01  
  1.401141529613e-04  2.124371709935e-01  
  1.401142474440e-04  2.124376048111e-01  
  1.401143374446e-04  2.124380263853e-01  
  1.401145174460e-04  2.124388950619e-01  
  1.401148774488e-04  2.124407488171e-01  
  1.401155974542e-04  2.124449993966e-01  
  1.401168770915e-04  2.124541992022e-01  
  1.401182833885e-04  2.124662876047e-01  
  1.401197736909e-04  2.124801812862e-01  
  1.401216680010e-04  2.124984360028e-01  
  1.401223019523e-04  2.125046313679e-01  
  1.401228191157e-04  2.125096958740e-01  
  1.401234390040e-04  2.125157713024e-01  
  1.401241858316e-04  2.125230911619e-01  
  1.401246207593e-04  2.125273546883e-01  
  1.401252977376e-04  2.125339924928e-01  
  1.401260037733e-04  2.125409172119e-01  
  1.401274158446e-04  2.125547729230e-01  
  1.401296972124e-04  2.125771763802e-01  
  1.401321037499e-04  2.126008334525e-01  
  1.401364146558e-04  2.126432755198e-01  
  1.401408924548e-04  2.126874490979e-01  
  1.401454782871e-04  2.127327829950e-01  
  1.401532835154e-04  2.128101646129e-01  
  1.401664114384e-04  2.129409497100e-01  
  1.401847547678e-04  2.131250276516e-01  
  1.402214414267e-04  2.134978613422e-01  
  1.402731424955e-04  2.140338690245e-01  
  1.403765446333e-04  2.151430187425e-01  
  1.405833489088e-04  2.175097287405e-01  
  1.409969574598e-04  2.228353432241e-01  
  1.410246000000e-04  2.232194083358e-01  
  1.410522000000e-04  2.236063949476e-01  
  1.410798000000e-04  2.239968901053e-01  
  1.410812000000e-04  2.240167912493e-01  
  1.410815000000e-04  2.240210569639e-01  
  1.410823000000e-04  2.240324342172e-01  
  1.410824000000e-04  2.240338565786e-01  
  1.410825000000e-04  2.240352789860e-01  
  1.410829272908e-04  2.240413573308e-01  
  1.410833442905e-04  2.240472900896e-01  
  1.410834000000e-04  2.240480827424e-01  
  1.410835000000e-04  2.240495056131e-01  
  1.410838630295e-04  2.240546714382e-01  
  1.410839000000e-04  2.240551975529e-01  
  1.410842000000e-04  2.240594669905e-01  
  1.410843000000e-04  2.240608902299e-01  
  1.410844000000e-04  2.240623135154e-01  
  1.410849000000e-04  2.240694306236e-01  
  1.410852572088e-04  2.240745159239e-01  
  1.410855716698e-04  2.240789724759e-01  
  1.410857116709e-04  2.240809502481e-01  
  1.410857518400e-04  2.240815169529e-01  
  1.410858129231e-04  2.240823779827e-01  
  1.410859350894e-04  2.240840968827e-01  
  1.410861794218e-04  2.240875105512e-01  
  1.410863780497e-04  2.240902506253e-01  
  1.410865540464e-04  2.240926479468e-01  
  1.410867144434e-04  2.240948045760e-01  
  1.410869645966e-04  2.240981096276e-01  
  1.410872194996e-04  2.241014014608e-01  
  1.410877293056e-04  2.241077393921e-01  
  1.410886549471e-04  2.241183969586e-01  
  1.410889335057e-04  2.241213894896e-01  
  1.410894906228e-04  2.241270863297e-01  
  1.410905355668e-04  2.241367900849e-01  
  1.410920053801e-04  2.241485459079e-01  
  1.410949450066e-04  2.241667069230e-01  
  1.410983096888e-04  2.241826392941e-01  
  1.411002911707e-04  2.241908735689e-01  
  1.411020940250e-04  2.241981124524e-01  
  1.411039864725e-04  2.242055854267e-01  
  1.411077713674e-04  2.242205235118e-01  
  1.411153411573e-04  2.242503715882e-01  
  1.411304807371e-04  2.243099917465e-01  
  1.411485886281e-04  2.243812095183e-01  
  1.411725914186e-04  2.244754801669e-01  
  1.412136292165e-04  2.246363481484e-01  
  1.412592804140e-04  2.248148422375e-01  
  1.413505828088e-04  2.251703791836e-01  
  1.415331875986e-04  2.258756557258e-01  
  1.418983971780e-04  2.272630467604e-01  
  1.424283539957e-04  2.292215114801e-01  
  1.429583108133e-04  2.311152768618e-01  
  1.434882676309e-04  2.329444884317e-01  
  1.440182244485e-04  2.347094340088e-01  
  1.445481812662e-04  2.364102572901e-01  
  1.450000000030e-04  2.378098571922e-01  
  1.450005000027e-04  2.378113803353e-01  
  1.450010000000e-04  2.378129034152e-01  
  1.450011000000e-04  2.378132080318e-01  
  1.450011251166e-04  2.378132845406e-01  
  1.450011753498e-04  2.378134375578e-01  
  1.450012758162e-04  2.378137435912e-01  
  1.450014767491e-04  2.378143556531e-01  
  1.450018786148e-04  2.378155797483e-01  
  1.450019000000e-04  2.378156448870e-01  
  1.450020000000e-04  2.378159494811e-01  
  1.450027000000e-04  2.378180815885e-01  
  1.450028000000e-04  2.378183861682e-01  
  1.450028182656e-04  2.378184418009e-01  
  1.450028547967e-04  2.378185530659e-01  
  1.450029070381e-04  2.378187121802e-01  
  1.450030115208e-04  2.378190304076e-01  
  1.450031230351e-04  2.378193700473e-01  
  1.450032966336e-04  2.378198987709e-01  
  1.450034590795e-04  2.378203935235e-01  
  1.450037839714e-04  2.378213830113e-01  
  1.450044337552e-04  2.378233619078e-01  
  1.450050000030e-04  2.378250863205e-01  
  1.450051299598e-04  2.378254820723e-01  
  1.450053229531e-04  2.378260697787e-01  
  1.450057089397e-04  2.378272451656e-01  
  1.450064809130e-04  2.378295958411e-01  
  1.450072555871e-04  2.378319546040e-01  
  1.450078911216e-04  2.378338896098e-01  
  1.450087495217e-04  2.378365030216e-01  
  1.450104663217e-04  2.378417293529e-01  
  1.450138999218e-04  2.378521800035e-01  
  1.450207671219e-04  2.378730732812e-01  
  1.450345015222e-04  2.379148277771e-01  
  1.450500000030e-04  2.379618939687e-01  
  1.450502000027e-04  2.379625009733e-01  
  1.450506000057e-04  2.379637149549e-01  
  1.450514000118e-04  2.379661428369e-01  
  1.450520000030e-04  2.379679636151e-01  
  1.450521600042e-04  2.379684491528e-01  
  1.450524800067e-04  2.379694202120e-01  
  1.450531200115e-04  2.379713622651e-01  
  1.450532000000e-04  2.379716049769e-01  
  1.450532800000e-04  2.379718477236e-01  
  1.450533000000e-04  2.379719084095e-01  
  1.450535167420e-04  2.379725660686e-01  
  1.450535650678e-04  2.379727127010e-01  
  1.450536617158e-04  2.379730059549e-01  
  1.450538550118e-04  2.379735924566e-01  
  1.450540000030e-04  2.379740323874e-01  
  1.450540386622e-04  2.379741496858e-01  
  1.450541159853e-04  2.379743842930e-01  
  1.450542706314e-04  2.379748535068e-01  
  1.450545799236e-04  2.379757919216e-01  
  1.450551985081e-04  2.379776686849e-01  
  1.450558000000e-04  2.379794935018e-01  
